1PPtUUgDpkk36XYbrJyYgF,"Bengalische Tiger",Marteria,https://open.spotify.com/track/1PPtUUgDpkk36XYbrJyYgF,spotify:track:1PPtUUgDpkk36XYbrJyYgF
6ngfhauAytTZsaQgZyJIeK,OMG!,Marteria,https://open.spotify.com/track/6ngfhauAytTZsaQgZyJIeK,spotify:track:6ngfhauAytTZsaQgZyJIeK
6lxTIMeCLEkj48TlCRG3XX,"Kids (2 Finger an den Kopf)",Marteria,https://open.spotify.com/track/6lxTIMeCLEkj48TlCRG3XX,spotify:track:6lxTIMeCLEkj48TlCRG3XX
0T0axNRa2AB3LWFndtmULE,"Big Bang",Marteria,https://open.spotify.com/track/0T0axNRa2AB3LWFndtmULE,spotify:track:0T0axNRa2AB3LWFndtmULE
1Z6dvTUGZuhqDfMi55WPlT,Endboss,Marteria,https://open.spotify.com/track/1Z6dvTUGZuhqDfMi55WPlT,spotify:track:1Z6dvTUGZuhqDfMi55WPlT
3hBpldTaQRjyM8hGUOMnrs,Yolo,"MC Fitti",https://open.spotify.com/track/3hBpldTaQRjyM8hGUOMnrs,spotify:track:3hBpldTaQRjyM8hGUOMnrs
2VH5G4uT8KDp4bYzne1foE,"Mama halblang","MC Fitti",https://open.spotify.com/track/2VH5G4uT8KDp4bYzne1foE,spotify:track:2VH5G4uT8KDp4bYzne1foE
49IOWZKQjVV5tb4dZpTV55,#futuretechnik,"MC Fitti",https://open.spotify.com/track/49IOWZKQjVV5tb4dZpTV55,spotify:track:49IOWZKQjVV5tb4dZpTV55
5M0tSYTMEaETWEF8sl6lw6,"Joko Diss","Eko Fresh,Frauenarzt,Manny Marc,Bass Sultan Hengzt",https://open.spotify.com/track/5M0tSYTMEaETWEF8sl6lw6,spotify:track:5M0tSYTMEaETWEF8sl6lw6
3jkp8fGwMxKVGZbNNYccnZ,"An Tagen wie diesen","Fettes Brot,Pascal Finkenauer",https://open.spotify.com/track/3jkp8fGwMxKVGZbNNYccnZ,spotify:track:3jkp8fGwMxKVGZbNNYccnZ
7AdV2DBo2GdC5Lr72eFFAi,"Liebs oder lass es","Genetikk,Sido",https://open.spotify.com/track/7AdV2DBo2GdC5Lr72eFFAi,spotify:track:7AdV2DBo2GdC5Lr72eFFAi
27zgcTyd3pVXVa9vUVmHoP,DDDD,"Ronny Trettmann",https://open.spotify.com/track/27zgcTyd3pVXVa9vUVmHoP,spotify:track:27zgcTyd3pVXVa9vUVmHoP
0HBdrRjDE1t56e2sTquhxl,Roswell,Marteria,https://open.spotify.com/track/0HBdrRjDE1t56e2sTquhxl,spotify:track:0HBdrRjDE1t56e2sTquhxl
3ckwU0TBQ0NUJ1elmDLMtZ,"Happy Go Sucky Fucky","Die Antwoord",https://open.spotify.com/track/3ckwU0TBQ0NUJ1elmDLMtZ,spotify:track:3ckwU0TBQ0NUJ1elmDLMtZ
2z3bxv6KtND0SPwngyhZeJ,"Raging Zef Boner","Die Antwoord",https://open.spotify.com/track/2z3bxv6KtND0SPwngyhZeJ,spotify:track:2z3bxv6KtND0SPwngyhZeJ
7pX7v3nQCz2bzPI02cbLmB,"Cookie Thumper!","Die Antwoord",https://open.spotify.com/track/7pX7v3nQCz2bzPI02cbLmB,spotify:track:7pX7v3nQCz2bzPI02cbLmB
080Dlo1EZbVhsjfKLuSo4J,"I Dont Dwank","Die Antwoord",https://open.spotify.com/track/080Dlo1EZbVhsjfKLuSo4J,spotify:track:080Dlo1EZbVhsjfKLuSo4J
58GHMdiQNYJ9aAZavLb0IJ,"Never Le Nkemise 1","Die Antwoord",https://open.spotify.com/track/58GHMdiQNYJ9aAZavLb0IJ,spotify:track:58GHMdiQNYJ9aAZavLb0IJ
6yDu6UVWQ820sn3nkh1sag,"I Fink U Freeky","Die Antwoord",https://open.spotify.com/track/6yDu6UVWQ820sn3nkh1sag,spotify:track:6yDu6UVWQ820sn3nkh1sag
2Ts1UxZn53VkDdbkngfdGV,"Fatty Boom Boom","Die Antwoord",https://open.spotify.com/track/2Ts1UxZn53VkDdbkngfdGV,spotify:track:2Ts1UxZn53VkDdbkngfdGV
0rEk0NGalbkqbKkTca5747,"So What?","Die Antwoord",https://open.spotify.com/track/0rEk0NGalbkqbKkTca5747,spotify:track:0rEk0NGalbkqbKkTca5747
7zZik8q9UsuY3QgkJJeYFg,"Fok Julle Naaiers","Die Antwoord",https://open.spotify.com/track/7zZik8q9UsuY3QgkJJeYFg,spotify:track:7zZik8q9UsuY3QgkJJeYFg
7KUareyRcXdq0KG5XSNPax,"In Your Face","Die Antwoord",https://open.spotify.com/track/7KUareyRcXdq0KG5XSNPax,spotify:track:7KUareyRcXdq0KG5XSNPax
7vLHDdIIO862CZeRSx62mp,"Enter The Ninja","Die Antwoord",https://open.spotify.com/track/7vLHDdIIO862CZeRSx62mp,spotify:track:7vLHDdIIO862CZeRSx62mp
5Ar7TB13XZYF6sDb6RoyWz,"Fish Paste","Die Antwoord",https://open.spotify.com/track/5Ar7TB13XZYF6sDb6RoyWz,spotify:track:5Ar7TB13XZYF6sDb6RoyWz
4kConEFvuD11ytv0rT6xvh,"ENTER DA NINJA - The Black Goat Decapitator Remix","Die Antwoord,Blackgoat",https://open.spotify.com/track/4kConEFvuD11ytv0rT6xvh,spotify:track:4kConEFvuD11ytv0rT6xvh
1RXok2dwrF4nyeAqX3aSft,"We Have Candy","Die Antwoord",https://open.spotify.com/track/1RXok2dwrF4nyeAqX3aSft,spotify:track:1RXok2dwrF4nyeAqX3aSft
6N0s8tBTo5WWmC98XKV4sB,Unstable,"Krizz Kaliko",https://open.spotify.com/track/6N0s8tBTo5WWmC98XKV4sB,spotify:track:6N0s8tBTo5WWmC98XKV4sB
5ZqQsCSxOfvSt6LkF83ioH,"Stürzende Helden",Frittenbude,https://open.spotify.com/track/5ZqQsCSxOfvSt6LkF83ioH,spotify:track:5ZqQsCSxOfvSt6LkF83ioH
0zQF85XdGZB9DFugL2XYdj,Daddy,"Die Antwoord",https://open.spotify.com/track/0zQF85XdGZB9DFugL2XYdj,spotify:track:0zQF85XdGZB9DFugL2XYdj
2BRSVYCEZ3vE4wrRhtfGYe,"Shit Just Got Real","Die Antwoord,Sen Dog",https://open.spotify.com/track/2BRSVYCEZ3vE4wrRhtfGYe,spotify:track:2BRSVYCEZ3vE4wrRhtfGYe
5YHSGex9c3ggMuMdBDHZej,"Gucci Coochie","Die Antwoord,Dita Von Teese",https://open.spotify.com/track/5YHSGex9c3ggMuMdBDHZej,spotify:track:5YHSGex9c3ggMuMdBDHZej
0l35DafWA7n3E6i5yjcd7t,"Hier bin ich wieder",Sido,https://open.spotify.com/track/0l35DafWA7n3E6i5yjcd7t,spotify:track:0l35DafWA7n3E6i5yjcd7t
3VMquffaOPNzlPwhBwrC6D,"Es war einmal",Sido,https://open.spotify.com/track/3VMquffaOPNzlPwhBwrC6D,spotify:track:3VMquffaOPNzlPwhBwrC6D
5J4HhRGnvCqEDCohMBrf3c,"Einer muss es machen",Sido,https://open.spotify.com/track/5J4HhRGnvCqEDCohMBrf3c,spotify:track:5J4HhRGnvCqEDCohMBrf3c
5cBx2v7XJSErfesDmgNtr2,Liebe,Sido,https://open.spotify.com/track/5cBx2v7XJSErfesDmgNtr2,spotify:track:5cBx2v7XJSErfesDmgNtr2
